date,open
2021-03-11,122.54
2021-03-10,121.69
2021-03-09,119.03
2021-03-08,120.93
2021-03-05,120.98
2021-03-04,121.75
2021-03-03,124.81
2021-03-02,128.41
2021-03-01,123.75
2021-02-26,122.59
2021-02-25,124.68
2021-02-24,124.94
2021-02-23,123.76
2021-02-22,128.01
2021-02-19,130.24
2021-02-18,129.20
2021-02-17,131.25
2021-02-16,135.49
2021-02-12,134.35
2021-02-11,135.90
2021-02-10,136.48
2021-02-09,136.62
2021-02-08,136.03
2021-02-05,137.35
2021-02-04,136.30
2021-02-03,135.76
2021-02-02,135.73
2021-02-01,133.75
2021-01-29,135.83
2021-01-28,139.52
